project_facility_name,project_city,project_state,project_county,project_lat,project_long,project_status,project_mw,project_operator,event_type,event_subtype,decision,actor,actor_level,date,date_precision,source_url,source_quote
Project Anthem,Cartoosa,OK,Wagoner,36.14817,-95.7338,Approved/Permitted/Under construction,,,rezoning_council_decision,"Phase 2 rezoning withdrawal (article dated April 01, 2026; 'yesterday' = March 31, 2026)",withdrawn,Atmoss LLC,developer,2026-03-31,day,https://www.datacenterdynamics.com/en/news/developer-withdraws-plans-to-build-second-phase-of-500-acre-data-center-in-tulsa-oklahoma/,"Developer Atmoss LLC yesterday withdrew its plans to build the second phase of a more than 500-acre data center called 'Project Anthem' in Tulsa, Oklahoma."
Project Anthem,Cartoosa,OK,Wagoner,36.14817,-95.7338,Approved/Permitted/Under construction,,,construction_started,,planned,Atmoss LLC,developer,2026,year,https://www.datacenterdynamics.com/en/news/developer-withdraws-plans-to-build-second-phase-of-500-acre-data-center-in-tulsa-oklahoma/,"first phase, which spans 340 acres and is set to begin construction this spring"
Project Anthem,Cartoosa,OK,Wagoner,36.14817,-95.7338,Approved/Permitted/Under construction,,,project_withdrawn,Phase 2 expansion plans scrapped,withdrawn,Atmoss LLC,developer,2026-03-31,day,other_info,Phase 2 expansion plans scrapped
Project Arrowhead,Ocilla,GA,Irwin,31.59873,-83.37431,Proposed,1250,,project_announced,,n_a,"Premier Data Center Development, LLC",developer,2026-02-04,day,https://www.change.org/p/protect-irwin-county-from-data-centers,"Petition created on February 4, 2026"
Project Arrowhead,Ocilla,GA,Irwin,31.59873,-83.37431,Proposed,1250,,state_environmental_review_initiated,Georgia DRI (Development of Regional Impact) Initial Form Submitted,filed,"Irwin County / Premier Data Center Development, LLC",local,2026-04-10,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4689,Initial DRI Information Form Submitted: 4/10/2026
Project Arrowhead,Ocilla,GA,Irwin,31.59873,-83.37431,Proposed,1250,,other,DRI Additional Information Form Submitted,filed,"Irwin County / Premier Data Center Development, LLC",local,2026-04-10,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4689,Additional DRI Information Form Submitted: 4/10/2026
Project Arrowhead,Ocilla,GA,Irwin,31.59873,-83.37431,Proposed,1250,,state_environmental_review_decision,DRI Determination — Warrants Regional Review,in_progress,Georgia Department of Community Affairs,state,2026-04-14,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4689,DRI Determination: 4/14/2026 Warrants regional review
Project Arrowhead,Ocilla,GA,Irwin,31.59873,-83.37431,Proposed,1250,,other,DRI Completeness Certification,approved,Georgia Department of Community Affairs,state,2026-04-20,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4689,Completeness Certification: 4/20/2026
Project Arrowhead,Ocilla,GA,Irwin,31.59873,-83.37431,Proposed,1250,,other,DRI Projected Process Completion Date,planned,Georgia Department of Community Affairs,state,2026-05-20,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4689,Projected Process Completion Date: 5/20/2026
Project Atlas,Madison,MS,Madison,32.49415,-90.1675,Proposed,"1,000+",Amazon,project_announced,,n_a,Amazon Web Services (AWS),developer,2024-01-25,day,https://www.datacenterdynamics.com/en/news/aws-confirmed-as-company-behind-10bn-mississippi-data-center-development/,"According to the Amazon announcement, also shared January 25, the investment will include 'multiple data center complexes' in two Madison County industrial parks"
Project Atlas,Madison,MS,Madison,32.49415,-90.1675,Proposed,"1,000+",Amazon,other,legislative_incentive_package_approved,approved,Mississippi State Legislature,state,2024-01-25,day,https://www.datacenterdynamics.com/en/news/aws-confirmed-as-company-behind-10bn-mississippi-data-center-development/,Mississippi lawmakers approve project during 'special session' ... lawmakers also approved incentives for the project.
Project Atlas,Madison,MS,Madison,32.49415,-90.1675,Proposed,"1,000+",Amazon,other,incentive_package_details,approved,Mississippi State Legislature,state,2024-01-25,day,https://www.datacenterdynamics.com/en/news/aws-confirmed-as-company-behind-10bn-mississippi-data-center-development/,"The incentive package ... includes a 10-year, 100 percent corporate income tax exemption, as well as incentives for sales and use tax for construction"
Project Atlas,Madison,MS,Madison,32.49415,-90.1675,Proposed,"1,000+",Amazon,construction_started,,in_progress,Amazon Web Services (AWS),developer,2025-03-07,day,https://www.clarionledger.com/story/business/2025/03/07/amazon-web-services-expanding-madison-county-ms-data-center-campus/81914950007/,"AWS VP: Madison expansion already underway, commits to more MS projects in the future"
Project Atlas,Madison,MS,Madison,32.49415,-90.1675,Proposed,"1,000+",Amazon,fully_operational,,n_a,Amazon Web Services (AWS),developer,2025,year,https://baxtel.com/data-center/aws-madison-county-mega-site-campus,Operational Fully operational facility ... Year Built: 2025
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,project_announced,,n_a,Beale Infrastructure,developer,2025-10,month,https://www.datacenterdynamics.com/en/news/beale-infrastructure-plans-second-data-center-campus-outside-tucson-arizona-and-two-outside-tulsa-oklahoma/,"the Broken Arrow Sentinel and News9 reported that Beale is planning a development in Coweta, a city southeast of Tulsa in Wagoner County. The proposed Project Atlas development is targeting land along 16192 State Highway 51B"
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,land_purchased,,n_a,Quartz Mountain Properties,developer,2024,year,https://www.datacenterdynamics.com/en/news/beale-infrastructure-plans-second-data-center-campus-outside-tucson-arizona-and-two-outside-tulsa-oklahoma/,"Local property records show the Coweta Industrial Development Authority sold 40 acres of property to Chicago-based Quartz Mountain Properties for $850,000 late last year."
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,land_purchased,Quartz Mountain (Beale affiliate) signed land deal with Hopping Family Trust in 2025,n_a,Quartz Mountain Properties,developer,2025,year,https://www.datacenterdynamics.com/en/news/beale-infrastructure-plans-second-data-center-campus-outside-tucson-arizona-and-two-outside-tulsa-oklahoma/,"Quartz Mountain, which is involved in another Beale project in the area, signed another land deal with Hopping Family Trust earlier this year."
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,rezoning_applied,,filed,Beale Infrastructure,developer,2025-10,month,https://www.datacenterdynamics.com/en/news/beale-infrastructure-plans-second-data-center-campus-outside-tucson-arizona-and-two-outside-tulsa-oklahoma/,"Beale has a purchase and sale agreement with both the Coweta Industrial Development Authority and a private owner for the site, and a rezoning request has been submitted."
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,public_hearing_held,,n_a,City of Coweta,local,2025-10,month,https://www.datacenterdynamics.com/en/news/beale-infrastructure-plans-second-data-center-campus-outside-tucson-arizona-and-two-outside-tulsa-oklahoma/,the company is hosting an open house about the project later this month.
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,rezoning_planning_commission_recommendation,,recommended_denial,City of Coweta Planning Commission,local,2026-01,month,https://www.datacenterdynamics.com/en/news/project-atlas-data-center-application-withdrawn-in-coweta-oklahoma/,The project also failed to secure a recommendation of approval from the city's planning commission in January.
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,project_withdrawn,,withdrawn,Beale Infrastructure,developer,2026-03-30,day,https://www.datacenterdynamics.com/en/news/project-atlas-data-center-application-withdrawn-in-coweta-oklahoma/,"The City of Coweta announced that Beale had 'pulled its rezoning application' yesterday, meaning that any items related to the project would not be considered at the upcoming city council meeting."
Project Azalea,Thomson,GA,McDuffie,33.453014,-82.39851,Approved/Permitted/Under construction,,,state_environmental_review_initiated,Development of Regional Impact (DRI) application filed with Georgia Department of Community Affairs,filed,Georgia Department of Community Affairs,state,2026-01,month,https://www.datacenterdynamics.com/en/news/plans-filed-for-six-building-data-center-campus-outside-augusta-georgia/,A Development of Regional Impact application has been filed with the Georgia Department of Community Affairs for a data center campus outside Augusta in McDuffie County.
Project Azalea,Thomson,GA,McDuffie,33.453014,-82.39851,Approved/Permitted/Under construction,,,project_announced,,n_a,Project Turbo LLC,developer,2026-01-13,day,https://www.datacenterdynamics.com/en/news/plans-filed-for-six-building-data-center-campus-outside-augusta-georgia/,Project Azalea could total six data center buildings on 200 acres of land at 2660-2358 Randall Hunt Road in Thomson.
Project Azalea,Thomson,GA,McDuffie,33.453014,-82.39851,Approved/Permitted/Under construction,,,rezoning_planning_commission_recommendation,,recommended_approval,McDuffie County Planning Commission,local,2026-03,month,https://www.datacenterdynamics.com/en/news/200-acre-project-azalea-data-center-approved/,"The project, which also received a recommendation of approval from the county's Planning Commission earlier this month"
Project Azalea,Thomson,GA,McDuffie,33.453014,-82.39851,Approved/Permitted/Under construction,,,rezoning_council_decision,,approved,McDuffie County Commissioners,local,2026-03-17,day,https://www.datacenterdynamics.com/en/news/200-acre-project-azalea-data-center-approved/,"Construction of the 200-acre 'Project Azalea' data center in McDuffie County, Georgia, was approved by local authorities yesterday. Commissioners voted 4-1 in favor of the campus"
Project Azalea,Thomson,GA,McDuffie,33.453014,-82.39851,Approved/Permitted/Under construction,,,other,Power supply agreement / utility energy commitment — 400MW from Jefferson Energy; substation and backup generators to be established,in_progress,Jefferson Energy,utility,2026-03-18,day,https://www.datacenterdynamics.com/en/news/200-acre-project-azalea-data-center-approved/,"will use 400MW of energy supplied by the Georgia utility company Jefferson Energy. But 'sufficient energy supply is not available to serve this project,' according to a report"
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,rezoning_council_decision,,approved,Pima County Board of Supervisors,local,2025-06-18,day,https://www.datacenterdynamics.com/en/news/arizona-land-parcel-rezoned-and-sold-to-develop-project-blue-data-center/,"On June 18, the Pima County Board of Supervisors voted 3-2 in favor of rezoning the 290-acre land parcel from 'rural homestead' to 'light industrial'."
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,land_purchased,,approved,Beale Infrastructure,developer,2025-06,month,https://www.datacenterdynamics.com/en/news/arizona-land-parcel-rezoned-and-sold-to-develop-project-blue-data-center/,The parcel will then be sold to San Francisco-based Beale Infrastructure... Beale will acquire the land for approximately $20 million.
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,project_announced,,n_a,Beale Infrastructure,developer,2025-06-19,day,https://www.datacenterdynamics.com/en/news/arizona-land-parcel-rezoned-and-sold-to-develop-project-blue-data-center/,"A land parcel around Tucson, Arizona, has been rezoned and sold to develop the 'Project Blue' data center."
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,rezoning_applied,Tucson city council annexation and rezoning request filed ahead of August vote,filed,Beale Infrastructure,developer,2025,year,https://www.datacenterdynamics.com/en/news/amazon-named-as-company-behind-290-acre-data-center-campus-in-tuscson-arizona/,Tucson city council is set to vote on annexation and rezoning requests related to the project in August.
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,rezoning_council_decision,,denied,Tucson City Council,local,2025,year,other_info,"Voted down by the Tucson City Council, but in December 2025 the Arizona Corporation Commission approved a plan to let Tucson Electric Power power the project."
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,other,Arizona Corporation Commission approved Tucson Electric Power plan to power the project,approved,Arizona Corporation Commission,state,2025-12,month,other_info,in December 2025 the Arizona Corporation Commission approved a plan to let Tucson Electric Power power the project.
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,project_cancelled,Project effectively cancelled after Tucson City Council vote-down on annexation/rezoning,halted,Tucson City Council,local,2025,year,other_info,Voted down by the Tucson City Council
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,construction_started,"Planned Phase 1 construction start (as of July 2025 reporting, prior to cancellation)",planned,Beale Infrastructure,developer,2026,year,https://www.datacenterdynamics.com/en/news/amazon-named-as-company-behind-290-acre-data-center-campus-in-tuscson-arizona/,"Construction work on the first phase is set to run from 2026 to 2029, with the first buildings potentially going live in 2027."
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,rezoning_planning_commission_recommendation,,recommended_approval,Marana Planning and Zoning Commission,local,2024-12,month,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,"Plans for the data center campus, which were recommended for approval by the town's planning and zoning commission last month"
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,public_hearing_held,,n_a,Marana Town Council,local,2025-01-07,day,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,Marana's council approved the rezoning of two properties west of Interstate 10 in a 6-0 vote after a lengthy public hearing Tuesday night. Dozens filled the council chambers to speak both for and against
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,rezoning_council_decision,,approved,Marana Town Council,local,2025-01-07,day,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,Marana's council approved the rezoning of two properties west of Interstate 10 in a 6-0 vote after a lengthy public hearing Tuesday night.
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,other,data_center_ordinance_enacted,approved,Marana Town Council,local,2024,year,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,Plans for the data center campus...align with the town's data center ordinance enacted by the council last year.
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,other,utility_electric_service_agreement_ACC_approval,approved,Arizona Corporation Commission,state,2024-12,month,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,"Earlier in December, the Arizona Corporation Commission voted 4-1 to approve an agreement under which Tucson Electric Power will provide electric service to the data center complex"
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,lawsuit_filed,,filed,Arizona Attorney General Kris Mayes,state,2025-01,month,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,"Mayes announced she would be challenging the utility regulators' approval, saying the agreement illegally gives the two parties the power to set electricity rates for Project Blue's data centers"
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,land_purchased,,approved,Humphrey's Peak Properties LLC / Beale Infrastructure,developer,2024-12-24,day,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,County officials closed on the land sale — purchased for nearly $21 million — on Christmas Eve.
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,rezoning_council_decision,,approved,Pima County Board of Supervisors,local,2024-12-24,day,https://tucson.com/news/local/government-politics/article_b7e0a874-021f-406b-9722-7c8ef05bf476.html,"In a 3-2 vote Tuesday, the board approved amending the area's plan and rezoning for the proposed data center near the Pima County fairgrounds"
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,land_purchased,,approved,Pima County Board of Supervisors,local,2024-12-24,day,https://tucson.com/news/local/government-politics/article_b7e0a874-021f-406b-9722-7c8ef05bf476.html,"the board approved...selling the 290-acre site for nearly $21 million, to Humphrey's Peak Properties, LLC, of San Francisco."
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,other,annexation_rejected_by_city,denied,Tucson City Council,local,2024-08,month,https://tucson.com/news/local/environment/article_52f0d4ba-aa9e-4c17-b290-ca3c2ad8d011.html,"after the Tucson City Council rejected the annexation attempt and refused to provide water service to the project in August, the developers pivoted to a design reliant on air-cooling."
Project BOSC,Lima,OH,Allen,40.80032,-84.11909,Proposed,,Google,project_announced,,planned,Google,developer,2024-12,month,https://www.datacenterdynamics.com/en/news/google-confirmed-as-company-behind-500m-data-center-in-lima-ohio/,An unnamed data center project was first proposed in December 2024 in American Township.
Project BOSC,Lima,OH,Allen,40.80032,-84.11909,Proposed,,Google,other,project_identity_revealed,n_a,Google,developer,2026-03-17,day,https://www.datacenterdynamics.com/en/news/google-confirmed-as-company-behind-500m-data-center-in-lima-ohio/,"Google confirmed as company behind $500m data center in Lima, Ohio - Project known under codename ""Project BOSC"" March 17, 2026"
Project BOSC,Lima,OH,Allen,40.80032,-84.11909,Proposed,,Google,water_permit_issued,,approved,American Township / Allen County,local,2025-09,month,https://www.datacenterdynamics.com/en/news/google-confirmed-as-company-behind-500m-data-center-in-lima-ohio/,A water ordinance for five million gallons daily was secured for the project in September 2025.
Project BOSC,Lima,OH,Allen,40.80032,-84.11909,Proposed,,Google,air_permit_applied,,in_progress,Ohio Environmental Protection Agency,state,2026-03-17,day,https://www.datacenterdynamics.com/en/news/google-confirmed-as-company-behind-500m-data-center-in-lima-ohio/,Google still awaiting a decision from the Ohio Environmental Protection Agency on a draft air permit for 115 diesel-fueled generators at the site.
Project BOSC,Lima,OH,Allen,40.80032,-84.11909,Proposed,,Google,other,tax_abatement_agreement,approved,Elida Local Schools / Allen County,local,2026-03-17,day,other_info,"15-year tax abatement offset agreement, $250,000 in annual funding to Elida Local Schools"
Project BOSC,Lima,OH,Allen,40.80032,-84.11909,Proposed,,Google,construction_started,,planned,Google,developer,2026,year,https://www.datacenterdynamics.com/en/news/google-confirmed-as-company-behind-500m-data-center-in-lima-ohio/,construction is expected to begin sometime in 2026 and aims to be completed by 2030. Work will begin once all permits have been finalized
Project BOSC,Lima,OH,Allen,40.80032,-84.11909,Proposed,,Google,fully_operational,,planned,Google,developer,2030,year,https://www.datacenterdynamics.com/en/news/google-confirmed-as-company-behind-500m-data-center-in-lima-ohio/,construction is expected to begin sometime in 2026 and aims to be completed by 2030.
Project Bunkhouse,Cartersville,GA,Bartow,34.0998,-84.9167,Proposed,1830,Gaines Family Land LLC,state_environmental_review_initiated,Development of Regional Impact (DRI) application filed with Georgia Department of Community Affairs,filed,Georgia Department of Community Affairs,state,2025-04,month,https://www.datacenterdynamics.com/en/news/application-filed-for-86-million-sq-ft-data-center-project-outside-atlanta-georgia/,Kimley-Horn filed a Development of Regional Impact application this week with the Georgia Department of State Affairs for a data center campus known as Project Bunkhouse.
Project Bunkhouse,Cartersville,GA,Bartow,34.0998,-84.9167,Proposed,1830,Gaines Family Land LLC,project_announced,,n_a,Kimley-Horn,developer,2025-04-01,day,https://www.datacenterdynamics.com/en/news/application-filed-for-86-million-sq-ft-data-center-project-outside-atlanta-georgia/,"Plans have been filed for a large data center campus outside Atlanta, Georgia. Project Bunkhouse coming to Stilesboro April 01, 2025"
Project Bunkhouse,Cartersville,GA,Bartow,34.0998,-84.9167,Proposed,1830,Gaines Family Land LLC,rezoning_applied,,filed,Kimley-Horn / Bartow County,local,2025-04,month,https://apps.dca.ga.gov/DRI/InitialForm.aspx?driid=4433,The action being requested of the local government for this project: Rezoning
Project Bunkhouse,Cartersville,GA,Bartow,34.0998,-84.9167,Proposed,1830,Gaines Family Land LLC,other,Estimated project completion date,planned,Kimley-Horn,developer,2035,year,https://apps.dca.ga.gov/DRI/InitialForm.aspx?driid=4433,Estimated Project Completion Dates: This phase: 2035 Overall project: 2035
Project Bus,Temple,GA,Carroll and Haralson,33.709145,-85.06483,Suspended,,Atlas Development,state_environmental_review_initiated,Development of Regional Impact (DRI) application filed with Georgia DCA,filed,Georgia Department of Community Affairs,state,2026-01-27,day,https://www.datacenterdynamics.com/en/news/atlas-development-files-for-12-building-data-center-campus-in-temple-georgia/,A Development of Regional Impact application has been filed with the Georgia Department of Community Affairs for a data center campus in the city of Temple.
Project Bus,Temple,GA,Carroll and Haralson,33.709145,-85.06483,Suspended,,Atlas Development,project_announced,,n_a,Atlas Development,developer,2026-01-27,day,https://www.datacenterdynamics.com/en/news/atlas-development-files-for-12-building-data-center-campus-in-temple-georgia/,"Atlas Development files for 12-building data center campus in Temple, Georgia ... January 27, 2026"
Project Bus,Temple,GA,Carroll and Haralson,33.709145,-85.06483,Suspended,,Atlas Development,rezoning_applied,,filed,City of Temple,local,2026-01,month,https://apps.dca.ga.gov/DRI/InitialForm.aspx?driid=4606,The action being requested of the local government for this project: Rezoning
Project Bus,Temple,GA,Carroll and Haralson,33.709145,-85.06483,Suspended,,Atlas Development,project_withdrawn,,withdrawn,Atlas Development,developer,2026-02,month,other_info,Rezoning application withdrawn Feb 2026
Project Caprock (LBB-01),Abernathy,TX,Hale,33.86355,-101.85285,Approved/Permitted/Under construction,540,Aligned,project_announced,,n_a,Aligned,developer,2026-02,month,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-540mw-data-center-campus-in-texas/,News that Aligned was targeting Hale County surfaced in February.
Project Caprock (LBB-01),Abernathy,TX,Hale,33.86355,-101.85285,Approved/Permitted/Under construction,540,Aligned,construction_started,groundbreaking,n_a,Aligned,developer,2026-04-10,day,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-540mw-data-center-campus-in-texas/,"Aligned has broken ground on a new campus in Texas. The company this week announced work has started on Project Caprock, a 540MW campus located on 313 acres outside Abernathy in Hale County."
Project Caprock (LBB-01),Abernathy,TX,Hale,33.86355,-101.85285,Approved/Permitted/Under construction,540,Aligned,partial_operational,"LBB-01 first building go-live (Q1 2027, planned)",planned,Aligned,developer,2027-01,month,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-540mw-data-center-campus-in-texas/,"The first building at the site, LBB‑01, is set to go live in Q1 2027."
Project Celtic Phase 1,Leesburg,VA,Loudoun,39.056915,-77.54663,Expanding,,Google,other,building_permit_or_site_plan_on_file,in_progress,Loudoun County,local,<UNKNOWN>,year,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/4b096fd7-53cd-49a4-a1c0-32e42413c3c9?tab=attachments,SelfService Public Site — portal home (plan record 4b096fd7-53cd-49a4-a1c0-32e42413c3c9 on file with Loudoun County)
Project Celtic Phase 2,Leesburg,VA,Loudoun,39.0539,-77.54465,Expanding,,Google,other,expansion_phase_announced,in_progress,Google,developer,2024,year,other_info,"Building 3, 4, & 5"
Project Comal,Taylor,TX,Williamson,30.546633,-97.4439,Approved/Permitted/Under construction,360,,project_announced,,n_a,KDC Real Estate,developer,2026-04-01,day,https://www.datacenterdynamics.com/en/news/360mw-data-center-to-be-built-outside-austin-texas/,"A data center offering 360MW of capacity is set to be built outside of Austin, Texas, after receiving planning approval from the local authority."
Project Comal,Taylor,TX,Williamson,30.546633,-97.4439,Approved/Permitted/Under construction,360,,rezoning_council_decision,,approved,Taylor City Council,local,2026-03-26,day,https://www.datacenterdynamics.com/en/news/360mw-data-center-to-be-built-outside-austin-texas/,"The city council of Taylor... voted unanimously last Thursday, March 26, to approve annexation and zoning requests related to 'Project Comal'"
Project Comal,Taylor,TX,Williamson,30.546633,-97.4439,Approved/Permitted/Under construction,360,,other,annexation_approved,approved,Taylor City Council,local,2026-03-26,day,https://www.datacenterdynamics.com/en/news/360mw-data-center-to-be-built-outside-austin-texas/,"voted unanimously last Thursday, March 26, to approve annexation and zoning requests related to 'Project Comal'"
Project Comal,Taylor,TX,Williamson,30.546633,-97.4439,Approved/Permitted/Under construction,360,,site_plan_approved,,approved,Taylor City Council,local,2026-03-26,day,https://www.datacenterdynamics.com/en/news/360mw-data-center-to-be-built-outside-austin-texas/,"Project Comal will contain six data center buildings and two substations, according to a site plan shared with the city."
Project Comal,Taylor,TX,Williamson,30.546633,-97.4439,Approved/Permitted/Under construction,360,,construction_started,construction planned; 3.5-year estimated build period,planned,KDC Real Estate,developer,2026,year,https://www.datacenterdynamics.com/en/news/360mw-data-center-to-be-built-outside-austin-texas/,"KDC also claims that the project will create up to 3,000 construction jobs over a three-and-a-half-year estimated construction period."
Project Comal,Taylor,TX,Williamson,30.546633,-97.4439,Approved/Permitted/Under construction,360,,other,utility_energy_source_confirmed,n_a,Oncor,utility,2026-04-01,day,https://www.datacenterdynamics.com/en/news/360mw-data-center-to-be-built-outside-austin-texas/,"The developer, a real estate firm called KDC, has said that the facility will get its energy from Texas electric utility Oncor."
Project Cosmos,Marysville,OH,Union,40.2203,-83.3259,Proposed,,Amazon,project_announced,,n_a,Amazon Data Services,developer,2025-02-06,day,https://www.datacenterdynamics.com/en/news/amazon-eyes-another-data-center-campus-outside-columbus-ohio/,"Amazon eyes another data center campus outside Columbus, Ohio Company files for campus in Marysville February 06, 2025"
Project Cosmos,Marysville,OH,Union,40.2203,-83.3259,Proposed,,Amazon,rezoning_applied,,filed,Amazon Data Services,developer,2024-10,month,https://www.datacenterdynamics.com/en/news/amazon-eyes-another-data-center-campus-outside-columbus-ohio/,Rezoning applications for Project Cosmos were filed with the city last October.
Project Cosmos,Marysville,OH,Union,40.2203,-83.3259,Proposed,,Amazon,public_hearing_held,,in_progress,Marysville City Council,local,2025-02,month,https://www.datacenterdynamics.com/en/news/amazon-eyes-another-data-center-campus-outside-columbus-ohio/,the Marysville City Council met this week to discuss a community reinvestment area agreement with Amazon Data Services.
Project Cosmos,Marysville,OH,Union,40.2203,-83.3259,Proposed,,Amazon,other,community_reinvestment_area_agreement_discussion,in_progress,Marysville City Council,local,2025-02,month,https://www.datacenterdynamics.com/en/news/amazon-eyes-another-data-center-campus-outside-columbus-ohio/,The agreement would see Amazon's development exempt from property tax for up to 30 years.
Project Cosmos,Marysville,OH,Union,40.2203,-83.3259,Proposed,,Amazon,fully_operational,first building planned operational date,planned,Amazon Data Services,developer,2027,year,https://www.datacenterdynamics.com/en/news/amazon-eyes-another-data-center-campus-outside-columbus-ohio/,the first building set to begin operations in 2027
Project Cumulus,St Charles,MO,St. Charles,38.81535,-90.5454,Proposed,,,project_announced,,n_a,CRG Cumulus LLC / Clayco,developer,2025-03,month,https://www.ksdk.com/article/money/economy/energy/missouri-massive-data-center-st-charles-secretive-power-water-worries-polluted-groundwater-protected-wetland/63-cdae3e73-efab-4c0c-9215-938d064188e3,A 440-acre site known only as 'Project Cumulus' has been referenced in St. Charles City documents since at least March.
Project Cumulus,St Charles,MO,St. Charles,38.81535,-90.5454,Proposed,,,public_hearing_held,Planning commission meeting tabled in June due to large public attendance,n_a,St. Charles County Planning and Zoning Commission,local,2025-06,month,https://www.ksdk.com/article/money/economy/energy/missouri-massive-data-center-st-charles-secretive-power-water-worries-polluted-groundwater-protected-wetland/63-cdae3e73-efab-4c0c-9215-938d064188e3,They tabled the last meeting in June due to a large number of citizens in attendance that they did not want to hear from.
Project Cumulus,St Charles,MO,St. Charles,38.81535,-90.5454,Proposed,,,site_plan_applied,,filed,CRG Cumulus LLC,developer,2025-07-14,day,https://www.datacenterdynamics.com/en/news/data-center-in-st-charles-missouri-receives-partial-recommendation-for-approval/,"A proposal for a data center in St. Charles, Missouri, has been partially recommended for approval by the Planning and Zoning Commission. This decision was made on July 14."
Project Cumulus,St Charles,MO,St. Charles,38.81535,-90.5454,Proposed,,,conditional_use_permit_applied,Conditional Use Permit for hazardous substance / diesel fuel handling in wellhead protection district,filed,CRG Cumulus LLC,developer,2025-07-14,day,https://www.datacenterdynamics.com/en/news/data-center-in-st-charles-missouri-receives-partial-recommendation-for-approval/,"The second, which was denied a recommendation for approval, is a request for a Conditional Use Permit for the handling of liquid petroleum products and electrical power generators."
Project Cumulus,St Charles,MO,St. Charles,38.81535,-90.5454,Proposed,,,site_plan_approved,,recommended_approval,St. Charles County Planning and Zoning Commission,local,2025-07-14,day,https://www.datacenterdynamics.com/en/news/data-center-in-st-charles-missouri-receives-partial-recommendation-for-approval/,"The first, which was recommended for approval, is a site plan for a data center, which would offer 1.5 million sq ft (139,354 sqm) of space when built on the 440-acre land parcel."
