facility_name,city,state,county,lat,long,status,mw,operator_name,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types,timeline_summary
Logistix Data Center,Hamilton,OH,Butler,39.38385,-84.56061,Proposed,200,Logistix Property Group,8,2025-09-08,2026-01,construction_started|other|project_announced|public_hearing_held,2025-09-08(day): project_announced=n_a by Logistix Property Group; 2025-11-12(day): public_hearing_held=n_a by City of Hamilton City Council; 2025-11-19(day): public_hearing_held=n_a by City of Hamilton City Council; 2025-12-03(day): other=approved by City of Hamilton; 2025-12-03(month): other=n_a by Coalition Against Data Centers in South Ohio; 2025-12-03(month): other=in_progress by City of Hamilton; 2026(year): construction_started=planned by Logistix Property Group; 2026-01(month): construction_started=planned by Logistix Property Group
Amazon Hilliard Data Center ,Hilliard,OH,Franklin,40.06241,-83.1344,Operating,,Amazon,4,2021-01,2022-06-09,construction_started|land_purchased|other|project_announced,2021-01(month): land_purchased=n_a by Amazon Web Services; 2022-05-27(day): project_announced=planned by Amazon Web Services; 2022-05-27(day): construction_started=in_progress by Amazon Web Services; 2022-06-09(day): other=filed by Amazon Web Services
Ravel Data Center,Ironton,OH,Lawrence,38.56767,-82.782684,Proposed,,Strata,6,2025-12,2026-01,construction_started|land_purchased|moratorium_enacted|other|project_announced|public_hearing_held,2025-12(month): project_announced=n_a by Strata Expense; 2025-12(month): construction_started=n_a by Strata Expense; 2025-12(month): land_purchased=n_a by Lawrence County Economic Development Corporation; 2025-12(month): other=n_a by Strata Expense; 2026-01(month): public_hearing_held=n_a by Ironton City Council; 2026-01(month): moratorium_enacted=in_progress by Ironton City Council
Amazon Jeffersonville Data Center,Jeffersonville,OH,Fayette,39.62815,-83.57187,Proposed,1184,Amazon,8,2024-11,<UNKNOWN>,construction_started|fully_operational|interconnection_request_filed|land_purchased|other|project_announced,2024-11(month): project_announced=n_a by Amazon Web Services; 2024-11(month): other=filed by Office of the Ohio Consumers' Counsel; 2024-11(month): interconnection_request_filed=filed by Amazon Web Services; 2024-12(month): other=n_a by Amazon Web Services; 2025(year): construction_started=planned by Amazon Web Services; 2025-01-15(day): land_purchased=n_a by Amazon Web Services; 2026-09(month): fully_operational=planned by Amazon Web Services; <UNKNOWN>(year): other=n_a by Amazon Web Services / Bluegrass Power Generation Facility
Johnstown Data Center (Harrison Rd),Johnstown,OH,Licking,40.08953,-82.7346,Proposed,,Amazon,4,2019,2025,construction_started|land_purchased|project_announced|rezoning_council_decision,2019(year): project_announced=n_a by Amazon Web Services; 2022(year): land_purchased=n_a by Amazon Web Services; 2023-09(month): rezoning_council_decision=approved by New Albany City Council; 2025(year): construction_started=planned by Amazon Web Services
Johnstown Data Center (Beech Rd NW),Johnstown,OH,Licking,40.09421,-82.7514,Proposed,,Amazon,4,2022,2025,construction_started|land_purchased|project_announced|rezoning_council_decision,2022(year): land_purchased=n_a by Amazon; 2023-09-25(day): project_announced=n_a by New Albany City Council; 2023-09-25(day): rezoning_council_decision=approved by New Albany City Council; 2025(year): construction_started=planned by Amazon
Johnstown Data Center (Beech Rd),Johnstown,OH,Licking,40.09769,-82.7533,Proposed,,Amazon,4,2022,2025,construction_started|land_purchased|project_announced|rezoning_council_decision,
Johnstown Data Center (Beech Rd.) ,Johnstown,OH,Licking,40.11718,-82.7506,Proposed,,,4,2022,2025,construction_started|land_purchased|project_announced|rezoning_council_decision,2022(year): land_purchased=n_a by Amazon Web Services; 2023-09-25(day): project_announced=n_a by New Albany City Council; 2023-09-25(day): rezoning_council_decision=approved by New Albany City Council; 2025(year): construction_started=planned by Amazon Web Services
CyrusOne COL-1,Johnstown,OH,Licking,40.09545,-82.7181,Approved/Permitted/Under construction,,,4,2024-04,2025-09-18,construction_started|land_purchased|other|project_announced,2024-04(month): project_announced=n_a by CyrusOne; 2024-04(month): land_purchased=n_a by CyrusOne; 2024-04(month): other=approved by Ohio Tax Credit Authority; 2025-09-18(day): construction_started=n_a by CyrusOne
EdgeConneX New Albany Data Center,Johnstown,OH,Licking,40.08851,-82.7583,Approved/Permitted/Under construction,120-766,EdgeConneX,10,2025,2027-10,air_permit_applied|construction_started|land_purchased|other|partial_operational|project_announced,2025(year): land_purchased=approved by EdgeConneX; 2025(year): other=filed by PowerConneX; 2025(year): construction_started=in_progress by EdgeConneX; 2025-02(month): air_permit_applied=filed by PowerConneX; 2025-06(month): project_announced=filed by EdgeConneX; 2026-04(month): other=filed by PowerConneX; 2026-04(month): partial_operational=planned by EdgeConneX; 2027(year): partial_operational=planned by EdgeConneX; 2027-07(month): partial_operational=planned by EdgeConneX; 2027-10(month): partial_operational=planned by PowerConneX
Karis Critical Data Center,Johnstown,OH,Licking,40.12115,-82.7517,Proposed,36,,3,2025-07,2025-09-03,land_purchased|project_announced|rezoning_council_decision,2025-07(month): rezoning_council_decision=approved by New Albany; 2025-09-03(day): land_purchased=n_a by Karis Critical; 2025-09-03(day): project_announced=planned by Karis Critical
Lancaster Data Center,Lancaster,OH,Fairfield,39.72647,-82.6823,Proposed,,Google,3,2023-05,2023-05,construction_started|land_purchased|project_announced,2023-05(month): project_announced=planned by Google; 2023-05(month): land_purchased=n_a by Google; 2023-05(month): construction_started=n_a by Google
CMH3,Lewis Center,OH,Delaware,40.15455,-83.0143,Operating,7,,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Expedient
COL 5 (Cologix),Lewis Center,OH,Delaware,40.19086,-83.0113,Proposed,25,,1,2025,2025,other,2025(year): other=n_a by Cologix
Bistrozzi LLC Data Center,Lima,OH,Allen,40.7965,-84.121,Proposed,,,5,2025,2026-02,construction_started|land_purchased|other|project_announced,2025(year): project_announced=n_a by Bistrozzi LLC; 2025(year): other=approved by Elida Local School District; 2025(year): other=approved by Allen County Sanitary Engineer / City of Lima / Allen County Board of Commissioners; 2025-08(month): land_purchased=n_a by Bistrozzi LLC; 2026-02(month): construction_started=planned by Bistrozzi LLC
Project Cosmos,Marysville,OH,Union,40.2203,-83.3259,Proposed,,Amazon,5,2024-10,2027,fully_operational|other|project_announced|public_hearing_held|rezoning_applied,2024-10(month): rezoning_applied=filed by Amazon Data Services; 2025-02(month): public_hearing_held=in_progress by Marysville City Council; 2025-02(month): other=in_progress by Marysville City Council; 2025-02-06(day): project_announced=n_a by Amazon Data Services; 2027(year): fully_operational=planned by Amazon Data Services
Vantage Data Center,Millersport,OH,Fairfield,39.89945,-82.5619,Proposed,800,Vantage,11,2025,2027,construction_started|other|partial_operational|project_announced|project_withdrawn|public_hearing_held,2025(year): construction_started=planned by Vantage Data Centers; 2025-05(month): other=approved by Fairfield County Commissioners; 2025-05(month): other=filed by Millersport Energy Center; 2025-05-30(day): project_announced=n_a by Vantage Data Centers; 2025-07-16(day): public_hearing_held=planned by Ohio Power Siting Board; 2025-09(month): project_withdrawn=withdrawn by Millersport Energy Center; 2025-09(month): project_withdrawn=withdrawn by Millersport Energy Center; 2025-10-14(day): other=in_progress by Fairfield County Commissioners; 2025-10-15(day): project_announced=n_a by Governor Mike DeWine / State of Ohio; 2025-10-15(day): other=approved by State of Ohio; 2027(year): partial_operational=planned by Vantage Data Centers
Google New Albany Data Center,New Albany,OH,Franklin,40.058273,-82.766945,Approved/Permitted/Under construction,543-679,Google,1,<UNKNOWN>,<UNKNOWN>,other,<UNKNOWN>(year): other=in_progress by Google
New Albany Meta Data Center/Prometheus,New Albany,OH,Darke,40.06873,-82.75027,Operating,"691-1,400",Meta,5,2017-08,2025-07-15,fully_operational|other|project_announced,2017-08(month): other=approved by Ohio Tax Credit Authority; 2018(year): project_announced=n_a by Facebook (Meta); 2020-02-07(day): fully_operational=n_a by Facebook (Meta); 2025(year): other=planned by Meta; 2025-07-15(day): project_announced=planned by Meta (Mark Zuckerberg)
Data center,Oregon,OH,Lucas,41.66384,-83.4237,Proposed,,,2,2025-09-02,2025-09-02,public_hearing_held|rezoning_council_decision,2025-09-02(day): rezoning_council_decision=approved by Oregon City Council; 2025-09-02(day): public_hearing_held=n_a by Oregon City Council
J5 LLC (dba Shaytura LLC) Data Center,Piqua,OH,Miami,40.10546,-84.259926,Proposed,,Cleanview,6,2024-07,2024-11-03,other|project_announced|public_hearing_held|rezoning_council_decision,2024-07(month): other=in_progress by City of Piqua; 2024-11-03(day): public_hearing_held=n_a by City of Piqua; 2024-11-03(day): rezoning_council_decision=approved by Piqua Commission; 2024-11-03(day): other=n_a by City of Piqua; 2024-11-03(day): other=approved by Piqua Commission; 2024-11-03(day): project_announced=n_a by Cleanview / J5 LLC (Shaytura LLC)
Aligned NEO-01,Sandusky,OH,Erie,41.43093,-82.7172,Proposed,,,3,2023,2023-09-26,construction_started|land_purchased|project_announced,2023(year): construction_started=in_progress by Aligned Data Centers; 2023-08(month): land_purchased=n_a by Aligned Data Centers; 2023-09-26(day): project_announced=n_a by Aligned Data Centers
Amazon Project Galaxy,Sidney,OH,Shelby,40.26942,-84.19626,Proposed,,Amazon,5,2025-03,2030,construction_started|fully_operational|other|project_announced,2025-03(month): project_announced=n_a by Amazon Data Services; 2025-10-29(day): other=approved by Sidney City Council; 2025-10-29(day): other=approved by Sidney City Council; 2026-01(month): construction_started=planned by Amazon Data Services; 2030(year): fully_operational=planned by Amazon Data Services
Project Mila,Trenton,OH,Butler,39.455215,-84.45998,Proposed,240,Prologis,8,2024-10,2029,construction_started|fully_operational|land_purchased|other|partial_operational|project_announced|public_hearing_held|rezoning_applied,2024-10(month): project_announced=n_a by Prologis; 2024-10(month): rezoning_applied=filed by Prologis; 2025-10(month): land_purchased=n_a by Prologis; 2025-11-06(day): public_hearing_held=n_a by City of Trenton; 2026(year): construction_started=planned by Prologis; 2026-03(month): other=in_progress by Prologis; 2028(year): partial_operational=planned by Prologis; 2029(year): fully_operational=planned by Prologis
CMH1,Upper Arlington,OH,Franklin,40.05789,-83.0785,Operating,1.6,,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Expedient
Stargate Data Center,Warren,OH,Trumbull,41.15324,-80.8803,Proposed,1500,Bristolville 25 Developer LLC,9,2025,2026,construction_started|land_purchased|moratorium_enacted|other|project_announced|public_hearing_held|site_plan_applied,2025(year): land_purchased=approved by Crescent Dune LLC; 2025(year): construction_started=in_progress by SoftBank; 2025(year): site_plan_applied=filed by SoftBank / Stargate Project; 2025(year): public_hearing_held=n_a by Lordstown Village Planning Commission; 2025(year): moratorium_enacted=in_progress by Lordstown Village Council; 2025-07(month): other=n_a by Shimizu North America LLC; 2025-09-23(day): project_announced=planned by OpenAI / SoftBank / Oracle (Stargate Project); 2025-09-24(day): project_announced=planned by OpenAI / SoftBank / Oracle; 2026(year): other=planned by SoftBank
Wilmington Data Center,Wilmington,OH,Clinton,39.42304,-83.845474,Suspended,400-600,Amazon,10,2024-01-30,2026-01-07,land_purchased|other|project_announced|project_suspended|public_hearing_held|rezoning_council_decision|site_plan_applied,2024-01-30(day): other=n_a by City of Wilmington; 2025-08(month): land_purchased=n_a by Amazon Web Services; 2025-11(month): rezoning_council_decision=approved by City of Wilmington; 2025-11-19(day): project_announced=n_a by Amazon Web Services; 2025-11-25(day): public_hearing_held=n_a by Wilmington City Council; 2025-11-25(day): other=in_progress by Wilmington City Council; 2025-12-04(day): other=approved by Wilmington City Council; 2025-12-15(day): other=n_a by Good Jobs First / Policy Matters Ohio; 2026-01(month): site_plan_applied=filed by Amazon Web Services; 2026-01-07(day): project_suspended=halted by Wilmington Planning Commission
Project Anthem,Cartoosa,OK,Wagoner,36.14817,-95.7338,Approved/Permitted/Under construction,,,9,2024,2026-03-31,construction_started|moratorium_enacted|other|project_announced|project_withdrawn|public_hearing_held|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2024(year): project_announced=n_a by Atmoss LLC; 2024-03(month): rezoning_planning_commission_recommendation=recommended_approval by Tulsa Metropolitan Area Planning Commission; 2024-03(month): other=approved by Tulsa Metropolitan Area Planning Commission; 2026(year): construction_started=planned by Atmoss LLC; 2026-03(month): rezoning_applied=filed by Atmoss LLC; 2026-03(month): public_hearing_held=in_progress by Tulsa Metropolitan Area Planning Commission; 2026-03(month): moratorium_enacted=approved by Tulsa City Council; 2026-03-31(day): rezoning_council_decision=withdrawn by Atmoss LLC; 2026-03-31(day): project_withdrawn=withdrawn by Atmoss LLC
Project Mustang,Claremore,OK,Rogers,36.343464,-95.60581,Proposed,,,3,2026-01-06,2028,other|project_announced,2026-01-06(day): project_announced=in_progress by Beale Infrastructure / City of Claremore / Claremore Economic Development; 2026-01-06(day): other=in_progress by City of Claremore / Claremore Economic Development; 2028(year): other=planned by Beale Infrastructure
Google Pryor Data Center,Lusta,OK,Mayes,36.240967,-95.33059,Operating,195-584,Google,10,2018-09-14,2026-05-17,construction_started|fully_operational|other|partial_operational,2018-09-14(day): construction_started=n_a by Google; 2019-09-14(day): other=in_progress by Google; 2020-04-16(day): other=in_progress by Google; 2021-03-17(day): other=in_progress by Google; 2024-02-20(day): other=in_progress by Google; 2024-06-14(day): other=in_progress by Google; 2024-07-19(day): partial_operational=n_a by Google; 2025-01-28(day): other=in_progress by Google; 2025-10-19(day): other=in_progress by Google; 2026-05-17(day): fully_operational=planned by Google
Luther Data Center,Luther,OK,Oklahoma,35.684746,-97.21583,Proposed,,,3,2025-05-29,2026-01-05,project_announced|public_hearing_held,2025-05-29(day): public_hearing_held=n_a by Luther Board of Trustees; 2025-06(month): project_announced=n_a by Beltline Energy; 2026-01-05(day): public_hearing_held=n_a by Luther residents
Cerebras Systems Data Center,Oklahoma City,OK,Oklahoma,35.53575,-97.5223,Operating,10,,3,2025,2025-09-23,fully_operational|land_purchased|project_announced,2025(year): project_announced=planned by Cerebras Systems; 2025-05(month): land_purchased=approved by Scale Datacenters; 2025-09-23(day): fully_operational=approved by Cerebras Systems
Valor C3 Data Center,Oklahoma City,OK,Oklahoma,35.42508,-97.5998,Operating,,,2,2025-05-24,2025-05-24,fully_operational|other,2025-05-24(day): fully_operational=n_a by Valor C3; 2025-05-24(day): other=n_a by Valor C3
Project Atlas,Porter,OK,Wagoner,35.89665,-95.60666,Cancelled,,Beale Infrastructure,7,2024,2026-03-30,land_purchased|project_announced|project_withdrawn|public_hearing_held|rezoning_applied|rezoning_planning_commission_recommendation,2024(year): land_purchased=n_a by Quartz Mountain Properties; 2025(year): land_purchased=n_a by Quartz Mountain Properties; 2025-10(month): project_announced=n_a by Beale Infrastructure; 2025-10(month): rezoning_applied=filed by Beale Infrastructure; 2025-10(month): public_hearing_held=n_a by City of Coweta; 2026-01(month): rezoning_planning_commission_recommendation=recommended_denial by City of Coweta Planning Commission; 2026-03-30(day): project_withdrawn=withdrawn by Beale Infrastructure
Project Spring,Sand Springs,OK,Osage,36.24621,-96.10994,Approved/Permitted/Under construction,,,11,2025-06,2029,construction_started|fully_operational|lawsuit_filed|other|project_announced|public_hearing_held|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2025-06(month): other=approved by Sand Springs City Council; 2025-11-21(day): project_announced=n_a by White Rose Partners; 2025-11-21(day): rezoning_applied=filed by White Rose Partners; 2025-12-03(day): public_hearing_held=n_a by Sand Springs Planning Commission; 2025-12-03(day): other=n_a by White Rose Partners; 2026(year): lawsuit_filed=in_progress by Protect Sand Springs Alliance; 2026-01-20(day): public_hearing_held=n_a by Sand Springs City Council; 2026-01-27(day): rezoning_planning_commission_recommendation=n_a by Sand Springs Planning Commission; 2026-02-03(day): rezoning_council_decision=approved by Sand Springs City Council; 2027(year): construction_started=planned by White Rose Partners / Google; 2029(year): fully_operational=planned by White Rose Partners / Google
"Beale Infrastructure ""Project Clydesdale""",Sperry,OK,Tulsa,36.26513,-95.9034,Approved/Permitted/Under construction,,,5,2025-05-20,2025-09,other|project_announced|public_hearing_held|rezoning_applied|rezoning_council_decision,2025-05-20(day): project_announced=n_a by Beale Infrastructure; 2025-05-20(day): rezoning_applied=filed by Beale Infrastructure; 2025-07-16(day): public_hearing_held=n_a by Tulsa County; 2025-07-16(day): rezoning_council_decision=approved by Tulsa County Commissioners; 2025-09(month): other=approved by Tulsa County
Cherokee Data Center,Tulsa,OK,Tulsa,36.26277,-95.9097,Operating,,,0,,,,
Tierpoint Data Center,Tulsa,OK,Tulsa,36.09664,-95.8402,Operating,,,3,2018-02-27,2018-02-27,construction_started|fully_operational|other,2018-02-27(day): fully_operational=n_a by TierPoint; 2018-02-27(day): construction_started=n_a by TierPoint; 2018-02-27(day): other=planned by TierPoint
Arlington Data Center,Arlington,OR,Gilliam,45.72153,-120.189,Proposed,,Amazon,3,2024,2025-02-17,land_purchased|power_purchase_agreement_signed|project_announced,2024(year): land_purchased=n_a by Amazon Web Services; 2024-02(month): power_purchase_agreement_signed=n_a by Amazon / Avangrid; 2025-02-17(day): project_announced=n_a by Amazon Web Services
Roundhouse Data Center,Cascade Locks,OR,Hood River,45.67192,-121.886,Cancelled,,,3,2023-03,2023-07,other|project_announced|project_cancelled,2023-03(month): project_announced=n_a by Roundhouse Digital Infrastructure; 2023-06(month): other=n_a by Cascade Locks voters; 2023-07(month): project_cancelled=withdrawn by Roundhouse Digital Infrastructure
Crane Data Centers,Forest Grove,OR,Washington,45.51303,-123.05,Approved/Permitted/Under construction,,,5,2023-01,2024-09-03,conditional_use_permit_decision|other|project_announced|public_hearing_held,2023-01(month): project_announced=n_a by Crane Data Centers; 2024(year): other=filed by neighboring property owner; 2024-07-31(day): conditional_use_permit_decision=approved by Forest Grove Planning Division; 2024-09-03(day): public_hearing_held=n_a by Forest Grove Planning Commission; 2024-09-03(day): conditional_use_permit_decision=approved by Forest Grove Planning Commission
Amazon Data Center,Heppner,OR,Morrow,45.604702,-119.573364,Proposed,"1,200",Amazon,7,2025-10,2026-01-19,construction_started|court_ruling|interconnection_agreement_executed|interconnection_request_filed|land_purchased|lawsuit_filed|project_announced,2025-10(month): lawsuit_filed=in_progress by Amazon; 2026(year): construction_started=planned by Amazon; 2026-01(month): land_purchased=approved by Amazon; 2026-01(month): court_ruling=approved by Bankruptcy Court; 2026-01-19(day): project_announced=n_a by Pine Gate Renewables; 2026-01-19(day): interconnection_agreement_executed=approved by Local electric cooperative; 2026-01-19(day): interconnection_request_filed=in_progress by Bonneville Power Administration
Flexential Hillsboro 1,Hillsboro,OR,Washington,45.55948,-122.938,Operating,12,,3,2025,2025-09-08,fully_operational|land_purchased|project_announced,2025(year): fully_operational=n_a by Flexential; 2025-09-08(day): project_announced=n_a by Flexential; 2025-09-08(day): land_purchased=n_a by Flexential
Flexential Hillsboro 2,Hillsboro,OR,Washington,45.54989,-122.891,Operating,12–20,,2,2025-09,2025-09,land_purchased|project_announced,2025-09(month): land_purchased=approved by Flexential; 2025-09(month): project_announced=n_a by Flexential
Flexential Hillsboro 3,Hillsboro,OR,Washington,45.55947,-122.938,Operating,12–20,,3,2025-09,2025-09-08,fully_operational|land_purchased|project_announced,2025-09(month): land_purchased=n_a by Flexential; 2025-09-08(day): project_announced=n_a by Flexential; 2025-09-08(day): fully_operational=n_a by Flexential
Flexential Hillsboro 4,Hillsboro,OR,Washington,45.55543,-122.939,Operating,12–20,,3,2025,2025-09-08,construction_started|land_purchased|project_announced,2025(year): construction_started=in_progress by Flexential; 2025-09(month): land_purchased=n_a by Flexential; 2025-09-08(day): project_announced=planned by Flexential
Flexential Hillsboro 5,Hillsboro,OR,Washington,45.55651,-122.939,Operating,36,,2,2025-09,2026,construction_started|partial_operational,2025-09(month): construction_started=in_progress by Flexential; 2026(year): partial_operational=planned by Flexential
Flexential Hillsboro 6,Hillsboro,OR,Washington,45.54841,-122.89,Proposed,27,,2,2025-09-08,2025-09-08,land_purchased|project_announced,2025-09-08(day): project_announced=n_a by Flexential; 2025-09-08(day): land_purchased=n_a by Flexential
"Portland Edge Data Center (EDC) campus (POR01, POR02, & POR03)",Hillsboro,OR,Washington,45.55167,-122.915,Operating,9+,,3,2025,2025,fully_operational|other,2025(year): fully_operational=n_a by EdgeConneX; 2025(year): other=planned by EdgeConneX; 2025(year): other=n_a by U.S. Environmental Protection Agency
Apple Data Center,Prineville,OR,Crook,44.28842,-120.876,Operating,,,0,,,,
Meta Data Center,Prineville,OR,Crook,44.295624,-120.88721,Operating,,Meta,0,,,,
Google,The Dalles,OR,Wasco,45.63318,-121.2,Proposed,,Google,5,2021,2025-05-08,building_permit_issued|construction_started|lawsuit_filed|other|project_withdrawn,2021(year): other=approved by State of Oregon / local government; 2021(year): lawsuit_filed=filed by City of The Dalles; 2021(year): project_withdrawn=withdrawn by City of The Dalles; 2024-09(month): construction_started=n_a by Google; 2025-05-08(day): building_permit_issued=approved by City of The Dalles / Wasco County
AWS Data Center,McAdoo/ Kline Twp,PA,Schuylkill,40.86813,-76.024254,Proposed,,Amazon,4,2025,2026-01-26,land_purchased|other|project_announced|public_hearing_held,2025(year): land_purchased=n_a by Amazon Web Services (AWS); 2025-06(month): other=n_a by Amazon Web Services (AWS); 2026-01-17(day): public_hearing_held=n_a by Kline Township Supervisors; 2026-01-26(day): project_announced=planned by Amazon Web Services (AWS)
Aliquippa Data Center Campus,Aliquippa,PA,Beaver,40.630177,-80.23629,Proposed,496,Five 9s Digital,3,2025,2025-07,other|project_announced,2025(year): other=n_a by Five 9s Digital; 2025-07(month): project_announced=n_a by Five 9s Digital / Blackstone / PPL Corp; 2025-07(month): other=n_a by Blackstone / PPL Corp
Shippingport Bruce Mansfield Data Center/Project Phoenix,Shippingport,PA,Beaver,40.63213,-80.4145,Proposed,3600,Aligned Data Centers,0,,,,
Atlas Industrial Data Center,Allentown,PA,Lehigh,40.643616,-75.53651,Proposed,,,8,2026-01,2026-02-12,interconnection_request_filed|other|project_announced|public_hearing_held|state_environmental_review_initiated,2026-01(month): project_announced=n_a by Jeras Corporation / Unknown Developer; 2026-01(month): state_environmental_review_initiated=in_progress by Pennsylvania Department of Environmental Protection; 2026-01(month): other=in_progress by Lehigh Valley Planning Commission; 2026-01(month): other=in_progress by South Whitehall Township; 2026-01(month): interconnection_request_filed=in_progress by PPL; 2026-01-20(day): public_hearing_held=n_a by Lehigh Valley Planning Commission Comprehensive Planning Committee; 2026-01-20(day): other=approved by Lehigh Valley Planning Commission Comprehensive Planning Committee; 2026-02-12(day): other=planned by South Whitehall Township Planning Commission
Data Centric LLC Data Center,Allenwood,PA,Union,41.13256,-76.9053,Suspended,,,2,2025-05,2025-08-15,land_purchased|project_cancelled,2025-05(month): land_purchased=filed by Data Centric LLC; 2025-08-15(day): project_cancelled=withdrawn by Data Centric LLC
Project Gravity Data Center,Archbald,PA,Lackawanna,41.52497,-75.561554,Proposed,,Archbald 25 Developer LLC,10,2024-10,2026-01-06,land_purchased|other|project_announced|public_hearing_held|rezoning_council_decision|site_plan_applied|state_environmental_review_initiated|water_permit_applied,2024-10(month): land_purchased=n_a by Western Hospitality Partners — Jermyn LLC; 2025(year): water_permit_applied=filed by Archbald 25 Developer LLC; 2025-04-02(day): site_plan_applied=filed by Archbald 25 Developer LLC; 2025-04-11(day): project_announced=n_a by Archbald 25 Developer LLC / Western Hospitality Partners; 2025-05-21(day): land_purchased=n_a by Archbald Developer II LLC; 2025-07-26(day): other=n_a by Jermyn Mobile Home Village LLC; 2025-10(month): rezoning_council_decision=denied by Archbald Borough Council; 2025-11-12(day): public_hearing_held=n_a by Archbald Borough Council; 2025-12-22(day): state_environmental_review_initiated=in_progress by Pennsylvania Department of Environmental Protection; 2026-01-06(day): public_hearing_held=planned by Pennsylvania Department of Environmental Protection
Wildcat Ridge Data Center,Archbald,PA,Lackawanna,41.50318,-75.58995,Suspended,,,10,2025,2026-01,other|project_announced|project_suspended|public_hearing_held|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2025(year): rezoning_council_decision=planned by Archbald Borough Council; 2025(year): project_suspended=halted by Unknown Developer (via LaBella Associates); 2025-01(month): project_announced=n_a by Unknown Developer (via LaBella Associates); 2025-03(month): rezoning_applied=filed by Unknown Developer (via LaBella Associates); 2025-03-08(day): project_announced=n_a by Unknown Developer (via LaBella Associates); 2025-06(month): rezoning_planning_commission_recommendation=planned by Archbald Planning Commission; 2025-10(month): other=denied by Archbald Borough Council; 2025-10(month): other=denied by Archbald Borough Council; 2025-11-12(day): public_hearing_held=n_a by Archbald Borough Council; 2026-01(month): public_hearing_held=n_a by Archbald Borough Council
Nautilus crypto mine,Berwick,PA,Luzerne,41.08303,-76.1527,Operating,50,,1,2024-08-31,2024-08-31,fully_operational,2024-08-31(day): fully_operational=n_a by TeraWulf / Cumulus Coin (Nautilus Cryptomine JV)
Salem Township Amazon Data Center ,Wapwallopen,PA,Luzerne,41.109283,-76.14361,Proposed,960,Amazon,12,2024-01,<UNKNOWN>,appeals_court_ruling|construction_started|court_ruling|interconnection_request_filed|land_purchased|other|project_announced|public_hearing_held|rezoning_council_decision|rezoning_planning_commission_recommendation,2024-01(month): construction_started=in_progress by Amazon Web Services; 2024-03(month): land_purchased=approved by Amazon Web Services; 2024-03(month): land_purchased=approved by Amazon Web Services; 2024-05(month): rezoning_planning_commission_recommendation=recommended_approval by Salem Township Planning Commission; 2024-05(month): other=approved by Salem Township Board of Supervisors; 2024-05-28(day): public_hearing_held=n_a by Salem Township; 2024-05-28(day): rezoning_council_decision=approved by Salem Township Board of Supervisors; 2024-06(month): interconnection_request_filed=filed by Amazon Web Services; 2024-11-01(day): court_ruling=denied by Federal Energy Regulatory Commission; 2025-04(month): appeals_court_ruling=upheld by Federal Energy Regulatory Commission; 2025-06-09(day): project_announced=approved by Amazon Web Services / Governor Josh Shapiro; <UNKNOWN>(year): other=approved by Pennsylvania Department of Environmental Protection
Tierpoint Bethlehem Data Center,Bethlehem,PA,Northampton,40.67062,-75.37491,Operating,,Tierpoint,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Tierpoint
Tierpoint Lehigh Valley (LVQ) Data Center,Bethlehem,PA,Northampton,40.675163,-75.37803,Operating,,Tierpoint,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Tierpoint
Blakely Data Center,Blakely,PA,Lackawanna,41.48713,-75.59684,Cancelled,1500,,7,2025,2025-09-16,other|project_withdrawn|public_hearing_held|rezoning_applied|rezoning_planning_commission_recommendation,2025(year): project_withdrawn=withdrawn by Alpesh Patel / Jim Marzolino (developer); 2025(year): other=approved by Blakely Borough Council; 2025-08-04(day): rezoning_applied=filed by Alpesh Patel / Jim Marzolino (developer); 2025-08-04(day): rezoning_planning_commission_recommendation=in_progress by Blakely Borough Planning Commission; 2025-08-13(day): public_hearing_held=n_a by Blakely Borough Council; 2025-08-26(day): public_hearing_held=n_a by Blakely Borough Council; 2025-09-16(day): public_hearing_held=n_a by Blakely Borough Council
Iron Mountain (WPA-1),Boyers,PA,Beaver,41.09156,-79.913376,Operating,15.5,,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Iron Mountain
Tierpoint Allentown TekPark Data Center,Breinigsville,PA,Lehigh,40.543934,-75.64966,Operating,,Tierpoint,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Tierpoint
